artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Tăng Phúc,Kí Ức Vpop 6,3pb0MIDSlYpY84CkHqk9Vn,spotify:track:3pb0MIDSlYpY84CkHqk9Vn,https://api.spotify.com/v1/tracks/3pb0MIDSlYpY84CkHqk9Vn,https://api.spotify.com/v1/audio-analysis/3pb0MIDSlYpY84CkHqk9Vn,13,0.522,0.262,11,-10.04,0,0.0404,0.859,0,0.115,0.239,123.71,840151,4,0
Đen and Ngọt,Cho Toi Lang Thang - Live At Show Của Đen,2ncglJOFf6z2LVAV0KAvge,spotify:track:2ncglJOFf6z2LVAV0KAvge,https://api.spotify.com/v1/tracks/2ncglJOFf6z2LVAV0KAvge,https://api.spotify.com/v1/audio-analysis/2ncglJOFf6z2LVAV0KAvge,40,0.483,0.833,8,-3.598,1,0.126,0.196,0,0.0979,0.499,175.934,272133,4,1
W/N and Duongg and Nau,3 1 0 7 - 2 (feat. W/N & Nau),2PYDUM2IC01FOTDLQdFxJP,spotify:track:2PYDUM2IC01FOTDLQdFxJP,https://api.spotify.com/v1/tracks/2PYDUM2IC01FOTDLQdFxJP,https://api.spotify.com/v1/audio-analysis/2PYDUM2IC01FOTDLQdFxJP,57,0.738,0.422,5,-9.76,1,0.0365,0.851,0.00111,0.712,0.315,122.071,268525,4,0
Đen and Linh Cáo,Ta Cứ Đi Cùng Nhau - Live At Show Của Đen,2mqEoZUVNajcSnNJPEBBfu,spotify:track:2mqEoZUVNajcSnNJPEBBfu,https://api.spotify.com/v1/tracks/2mqEoZUVNajcSnNJPEBBfu,https://api.spotify.com/v1/audio-analysis/2mqEoZUVNajcSnNJPEBBfu,39,0.649,0.896,7,-6.222,0,0.0668,0.26,1.34E-06,0.434,0.297,106.011,346627,4,1
Đàm Vĩnh Hưng,Người Tình Trăm Năm,4ybLeW8jaPo859kcn5jBQ1,spotify:track:4ybLeW8jaPo859kcn5jBQ1,https://api.spotify.com/v1/tracks/4ybLeW8jaPo859kcn5jBQ1,https://api.spotify.com/v1/audio-analysis/4ybLeW8jaPo859kcn5jBQ1,14,0.652,0.794,6,-8.718,0,0.0744,0.0373,1.89E-05,0.141,0.821,180.109,282355,4,0
Tuấn Hưng,Đốt Chút Lá Khô,4uSlznSwimxZeY5greUPQ0,spotify:track:4uSlznSwimxZeY5greUPQ0,https://api.spotify.com/v1/tracks/4uSlznSwimxZeY5greUPQ0,https://api.spotify.com/v1/audio-analysis/4uSlznSwimxZeY5greUPQ0,19,0.448,0.729,2,-5.244,0,0.0332,0.228,0,0.151,0.268,139.98,306625,4,0
Ji Yeon and Soobin Hoang Son,Đẹp Nhất Là Em(Between us),77agb6K1CMrwvTpC4k03Fm,spotify:track:77agb6K1CMrwvTpC4k03Fm,https://api.spotify.com/v1/tracks/77agb6K1CMrwvTpC4k03Fm,https://api.spotify.com/v1/audio-analysis/77agb6K1CMrwvTpC4k03Fm,33,0.687,0.561,0,-4.853,1,0.0306,0.407,1.13E-06,0.153,0.582,90.005,186699,4,0
Đen and Thành Đồng,một triệu like,3ESeHjnPRxAg4mW3KsFyXi,spotify:track:3ESeHjnPRxAg4mW3KsFyXi,https://api.spotify.com/v1/tracks/3ESeHjnPRxAg4mW3KsFyXi,https://api.spotify.com/v1/audio-analysis/3ESeHjnPRxAg4mW3KsFyXi,50,0.861,0.591,7,-5.319,0,0.213,0.6,1.46E-05,0.062,0.52,78.977,264000,4,1
Jimmi Nguyen,Trái Tim Biết Khóc,2zpQRaDAun0RYzrw9snbgI,spotify:track:2zpQRaDAun0RYzrw9snbgI,https://api.spotify.com/v1/tracks/2zpQRaDAun0RYzrw9snbgI,https://api.spotify.com/v1/audio-analysis/2zpQRaDAun0RYzrw9snbgI,0,0.662,0.309,9,-12.865,0,0.0337,0.677,0,0.136,0.214,121.956,234789,4,0
Phan Mạnh Quỳnh,Lời Từ Trái Tim Anh,1IQHFPXjywb9SwJ1uhsmHI,spotify:track:1IQHFPXjywb9SwJ1uhsmHI,https://api.spotify.com/v1/tracks/1IQHFPXjywb9SwJ1uhsmHI,https://api.spotify.com/v1/audio-analysis/1IQHFPXjywb9SwJ1uhsmHI,0,0.504,0.554,1,-8.048,1,0.034,0.801,2.35E-06,0.329,0.35,165.791,241528,3,0
